day,positive,negative,pos_pct,neg_pct
1,1430,3375,29.76066597,70.23933403
2,1322,2654,33.24949698,66.75050302
3,1945,2367,45.10667904,54.89332096
4,2022,2547,44.25476034,55.74523966
5,2130,2206,49.12361624,50.87638376
6,788,1055,42.75637547,57.24362453
7,1023,1530,40.07050529,59.92949471
