date,positive,negative
3/21/2021,2639,2361
3/20/2021,2440,2560
3/19/2021,3960,4830
3/18/2021,2044,5325
3/17/2021,2257,4226
3/16/2021,3157,3386
3/15/2021,3890,2780
3/14/2021,2478,3756
